id,event,src_ip,dst_ip,protocol,port,size,a1,a2,a3,a4,a5,a6
1,A,188.62.193.109,231.169.16.147,UDP,68,614,1,0,0,1,1,0
2,C,188.62.193.109,231.169.16.147,UDP,68,876,0,0,1,0,1,1
3,E,188.62.193.109,231.169.16.147,UDP,68,218,0,1,0,1,0,1
4,A,248.109.72.81,229.254.54.151,UDP,161,255,0,0,0,0,0,0
5,C,248.109.72.81,229.254.54.151,UDP,161,215,1,1,0,0,1,1
6,E,248.109.72.81,229.254.54.151,UDP,161,526,1,1,1,0,0,0
7,A,5.194.23.87,243.198.207.121,TCP,53,779,0,1,1,1,1,0
8,C,5.194.23.87,243.198.207.121,TCP,53,632,1,0,1,1,0,1
9,E,5.194.23.87,243.198.207.121,TCP,53,426,1,0,1,1,0,1
10,A,236.77.208.37,200.62.15.230,UDP,53,821,0,0,0,0,0,0
11,C,236.77.208.37,200.62.15.230,UDP,53,313,0,1,0,1,0,1
12,E,236.77.208.37,200.62.15.230,UDP,53,545,0,1,0,1,0,1
13,A,131.13.228.124,245.239.2.138,TCP,22,562,1,0,1,1,0,1
14,D,131.13.228.124,245.239.2.138,TCP,22,665,1,1,0,0,1,1
15,E,131.13.228.124,245.239.2.138,TCP,22,682,0,1,0,1,0,1
16,A,78.107.71.62,3.25.123.35,TCP,25,770,1,0,1,1,0,1
17,D,78.107.71.62,3.25.123.35,TCP,25,439,1,0,0,1,1,0
18,E,78.107.71.62,3.25.123.35,TCP,25,604,0,1,0,1,0,1
19,A,202.228.23.82,22.114.179.51,TCP,80,220,0,0,1,0,1,1
20,C,202.228.23.82,22.114.179.51,TCP,80,773,1,0,0,1,1,0
21,E,202.228.23.82,22.114.179.51,TCP,80,596,0,1,1,1,1,0
22,A,67.252.219.132,93.6.176.239,TCP,21,741,1,0,0,1,1,0
23,C,67.252.219.132,93.6.176.239,TCP,21,573,1,1,0,0,1,0
24,E,67.252.219.132,93.6.176.239,TCP,21,263,1,1,0,0,1,1
25,A,70.116.63.251,159.70.207.249,TCP,53,468,1,1,1,0,0,0
26,C,70.116.63.251,159.70.207.249,TCP,53,695,1,0,1,1,0,1
27,E,70.116.63.251,159.70.207.249,TCP,53,857,1,0,1,1,0,1
28,A,159.245.98.130,252.223.36.57,UDP,161,886,1,0,1,1,0,1
29,D,159.245.98.130,252.223.36.57,UDP,161,511,1,1,0,0,1,1
30,E,159.245.98.130,252.223.36.57,UDP,161,555,1,1,0,0,1,1
31,A,113.13.184.140,196.241.125.29,TCP,80,692,1,0,0,1,1,0
32,D,113.13.184.140,196.241.125.29,TCP,80,561,1,0,1,1,0,1
33,E,113.13.184.140,196.241.125.29,TCP,80,785,0,1,1,1,1,0
34,A,244.35.176.231,53.237.94.171,TCP,80,855,1,1,0,0,1,1
35,C,244.35.176.231,53.237.94.171,TCP,80,278,1,0,0,1,1,0
36,E,244.35.176.231,53.237.94.171,TCP,80,804,0,0,0,0,0,0
37,A,101.242.87.184,139.105.202.122,UDP,68,294,0,1,1,1,1,0
38,C,101.242.87.184,139.105.202.122,UDP,68,725,0,0,0,0,0,0
39,E,101.242.87.184,139.105.202.122,UDP,68,301,1,1,1,0,0,0
40,A,141.194.109.126,201.244.98.76,TCP,25,210,1,1,0,0,1,1
41,C,141.194.109.126,201.244.98.76,TCP,25,539,0,0,0,0,0,0
42,E,141.194.109.126,201.244.98.76,TCP,25,438,0,0,1,0,1,1
43,A,55.191.38.10,219.34.121.8,TCP,21,481,1,1,0,0,1,1
44,C,55.191.38.10,219.34.121.8,TCP,21,407,1,0,0,1,1,0
45,E,55.191.38.10,219.34.121.8,TCP,21,857,1,0,0,1,1,0
46,A,155.187.50.231,253.129.2.13,UDP,68,355,0,1,1,1,1,0
47,C,155.187.50.231,253.129.2.13,UDP,68,322,1,1,1,0,0,0
48,E,155.187.50.231,253.129.2.13,UDP,68,704,0,1,0,1,0,1
49,A,24.71.156.202,59.147.235.15,UDP,161,482,0,0,0,0,0,0
50,D,24.71.156.202,59.147.235.15,UDP,161,635,0,1,0,1,0,1
51,E,24.71.156.202,59.147.235.15,UDP,161,680,1,0,0,1,1,0
52,A,108.24.252.156,99.71.229.81,TCP,53,637,1,0,0,1,1,0
53,C,108.24.252.156,99.71.229.81,TCP,53,217,0,0,1,0,1,1
54,E,108.24.252.156,99.71.229.81,TCP,53,459,1,1,0,0,1,1
55,A,221.57.23.156,53.142.227.98,UDP,68,648,1,1,0,0,1,1
56,D,221.57.23.156,53.142.227.98,UDP,68,830,0,0,1,0,1,1
57,E,221.57.23.156,53.142.227.98,UDP,68,724,0,1,0,1,0,1
58,A,235.35.140.80,226.223.33.238,TCP,443,286,0,1,1,1,1,0
59,D,235.35.140.80,226.223.33.238,TCP,443,515,1,0,1,1,0,1
60,E,235.35.140.80,226.223.33.238,TCP,443,222,1,0,1,1,0,1
61,A,48.167.242.117,89.136.238.209,UDP,67,661,0,0,0,0,0,0
62,C,48.167.242.117,89.136.238.209,UDP,67,890,0,1,0,1,0,1
63,E,48.167.242.117,89.136.238.209,UDP,67,281,1,1,1,0,0,0
64,A,113.165.115.239,68.142.187.227,TCP,21,704,0,0,1,0,1,1
65,D,113.165.115.239,68.142.187.227,TCP,21,212,0,0,0,0,0,0
66,E,113.165.115.239,68.142.187.227,TCP,21,453,1,1,1,0,0,0
67,A,137.81.187.97,108.117.189.8,TCP,25,843,1,1,0,1,0,0
68,C,137.81.187.97,108.117.189.8,TCP,25,868,1,0,0,0,0,0
69,E,137.81.187.97,108.117.189.8,TCP,25,213,0,1,1,1,1,0
70,A,21.192.192.196,100.6.54.142,UDP,161,661,1,1,0,0,1,1
71,C,21.192.192.196,100.6.54.142,UDP,161,578,0,0,1,0,1,1
72,E,21.192.192.196,100.6.54.142,UDP,161,417,0,0,1,0,1,1
73,A,210.181.29.120,92.126.182.74,UDP,67,719,0,1,1,1,1,0
74,C,210.181.29.120,92.126.182.74,UDP,67,657,1,1,1,0,0,0
75,E,210.181.29.120,92.126.182.74,UDP,67,824,1,0,1,1,0,1
76,A,7.15.81.106,224.71.26.68,UDP,53,547,1,1,1,0,0,0
77,D,7.15.81.106,224.71.26.68,UDP,53,374,0,1,0,1,0,1
78,E,7.15.81.106,224.71.26.68,UDP,53,537,0,0,0,0,0,0
79,A,171.140.37.190,135.106.252.134,TCP,443,712,0,1,0,1,0,1
80,C,171.140.37.190,135.106.252.134,TCP,443,660,0,1,1,1,1,0
81,E,171.140.37.190,135.106.252.134,TCP,443,856,1,1,0,0,1,1
82,E,21.195.233.143,234.151.30.159,TCP,80,781,1,1,0,0,1,1
83,D,21.195.233.143,234.151.30.159,TCP,80,233,1,0,0,1,1,0
84,A,21.195.233.143,234.151.30.159,TCP,80,671,0,1,1,1,1,0
